Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
一,5,Nhất,"イチ, イツ","ichi, itsu","ひと-, ひと.つ","hito-, hitotsu",一つ (ひとつ) [hitotsu]: One thing; 一人 (ひとり) [hitori]: One person
右,5,Hữu,"ウ, ユウ","u, yuu",みぎ,migi,右 (みぎ) [migi]: Right; 右手 (みぎて) [migite]: Right hand
雨,5,Vũ,ウ,u,"あめ, あま-","ame, ama-",雨 (あめ) [ame]: Rain; 大雨 (おおあめ) [ooame]: Heavy rain
円,5,Viên,エン,en,まる.い,marui,円 (えん) [en]: Yen; 百円 (ひゃくえん) [hyakuen]: 100 yen
王,3,Vương,"オウ, -ノウ","ou, -nou",,,王様 (おうさま) [ousama]: King; 王子 (おうじ) [ouji]: Prince
音,4,Âm,"オン, イン","on, in","おと, ね","oto, ne",音 (おと) [oto]: Sound; 音楽 (おんがく) [ongaku]: Music
下,5,Hạ,"カ, ゲ","ka, ge","した, しも, もと, さ.げる, さ.がる, くだ.る","shita, shimo, moto, sageru, sagaru, kudaru",下 (した) [shita]: Below; 靴下 (くつした) [kutsushita]: Socks; 地下鉄 (ちかてつ) [chikatetsu]: Subway
火,5,Hỏa,カ,ka,"ひ, -び, ほ-","hi, -bi, ho-",火 (ひ) [hi]: Fire; 火曜日 (かようび) [kayoubi]: Tuesday
花,5,Hoa,"カ, ケ","ka, ke",はな,hana,花 (はな) [hana]: Flower; 花火 (はなび) [hanabi]: Fireworks
貝,2,Bối,バイ,bai,かい,kai,貝 (かい) [kai]: Shellfish; 貝殻 (かいがら) [kaigara]: Shell
学,5,Học,ガク,gaku,まな.ぶ,manabu,学生 (がくせい) [gakusei]: Student; 学校 (がっこう) [gakkou]: School
気,5,Khí,"キ, ケ","ki, ke",いき,iki,元気 (げんき) [genki]: Healthy; 天気 (てんき) [tenki]: Weather
九,5,Cửu,"キュウ, ク","kyuu, ku",ここの.つ,kokonotsu,九つ (ここのつ) [kokonotsu]: Nine things; 九月 (くがつ) [kugatsu]: September
休,5,Hưu,キュウ,kyuu,"やす.む, やす.まる, やす.める","yasumu, yasumaru, yasumeru",休む (やすむ) [yasumu]: To rest; 休み (やすみ) [yasumi]: Holiday/Break
玉,2,Ngọc,ギョク,gyoku,"たま, たま-, -だま","tama, tama-, -dama",玉 (たま) [tama]: Ball/Sphere; お年玉 (おとしだま) [otoshidama]: New Year's money gift
金,5,Kim,"キン, コン, ゴン","kin, kon, gon","かね, かな-, -がね","kane, kana-, -gane",お金 (おかね) [okane]: Money; 金曜日 (きんようび) [kinyoubi]: Friday
空,4,Không,クウ,kuu,"そら, あ.く, あ.き, あ.ける, から, す.く","sora, aku, aki, akeru, kara, suku",空 (そら) [sora]: Sky; 空気 (くうき) [kuuki]: Air; 空港 (くうこう) [kuukou]: Airport
月,5,Nguyệt,"ゲツ, ガツ","getsu, gatsu",つき,tsuki,月 (つき) [tsuki]: Moon; 月曜日 (げつようび) [getsuyoubi]: Monday
犬,5,Khuyển,ケン,ken,"いぬ, いぬ-","inu, inu-",犬 (いぬ) [inu]: Dog; 子犬 (こいぬ) [koinu]: Puppy
見,5,Kiến,ケン,ken,"み.る, み.える, み.せる","miru, mieru, miseru",見る (みる) [miru]: To see; 見せる (みせる) [miseru]: To show; 意見 (いけん) [iken]: Opinion
五,5,Ngũ,ゴ,go,"いつ, いつ.つ","itsu, itsutsu",五つ (いつつ) [itsutsu]: Five things; 五月 (ごがつ) [gogatsu]: May
口,4,Khẩu,"コウ, ク","kou, ku",くち,kuchi,口 (くち) [kuchi]: Mouth; 入口 (いりぐち) [iriguchi]: Entrance; 出口 (でぐち) [deguchi]: Exit
校,5,Hiệu,"コウ, キョウ","kou, kyou",,,学校 (がっこう) [gakkou]: School; 高校 (こうこう) [koukou]: High school
左,5,Tả,サ,sa,ひだり,hidari,左 (ひだり) [hidari]: Left; 左手 (ひだりて) [hidarite]: Left hand
三,5,Tam,"サン, ゾウ","san, zou","み, み.つ, みっ.つ","mi, mitsu, mittsu",三つ (みっつ) [mittsu]: Three things; 三月 (さんがつ) [sangatsu]: March
山,5,Sơn,"サン, セン","san, sen",やま,yama,山 (やま) [yama]: Mountain; 富士山 (ふじさん) [fujisan]: Mt. Fuji
子,5,Tử,"シ, ス, ツ","shi, su, tsu","こ, -こ, ね","ko, -ko, ne",子供 (こども) [kodomo]: Child; 女子 (じょし) [joshi]: Girl/Woman
四,5,Tứ,シ,shi,"よ, よ.つ, よっ.つ, よん","yo, yotsu, yottsu, yon",四つ (よっつ) [yottsu]: Four things; 四月 (しがつ) [shigatsu]: April
糸,2,Mịch,シ,shi,いと,ito,糸 (いと) [ito]: Thread
字,4,Tự,"ジ, アザ","ji, aza",,,漢字 (かんじ) [kanji]: Chinese character; 文字 (もじ) [moji]: Letter/Character
耳,4,Nhĩ,ジ,ji,みみ,mimi,耳 (みみ) [mimi]: Ear
七,5,Thất,シチ,shichi,"なな, なな.つ, なの","nana, nanatsu, nano",七つ (ななつ) [nanatsu]: Seven things; 七月 (しちがつ) [shichigatsu]: July
